date,username,to,replies,retweets,favorites,tweet,geo,mentions,hashtags,id,permalink
2019-07-22 15:10:07,taylorswift13,,4854,13838,76284,"I’m going live on Instagram tomorrow, July 23 at 5pm ET! I have some stuff I’m reeeeeally excited to tell you about, including some info on this Easter egg right here. pic.twitter.com/uxNYCgZ0Tz",,,,1153321330223149058,https://twitter.com/taylorswift13/status/1153321330223149058
2019-07-18 21:16:45,taylorswift13,,5555,43335,195047,I am a cat now and somehow that was everything #CatsMoviepic.twitter.com/80gZHpvzMW,,,#CatsMoviepic,1151964046423465984,https://twitter.com/taylorswift13/status/1151964046423465984
2019-07-18 16:12:10,taylorswift13,,1331,6681,47592,Behind the scenes with my YNTCD Taylor Park neighbors @adaripp @harto @dex_rated @todrick : https://taylorswift.lnk.to/YNTCDneighbors pic.twitter.com/uacbRcLXbd,,@adaripp @harto @dex_rated @todrick,,1151887396021112834,https://twitter.com/taylorswift13/status/1151887396021112834
2019-07-17 16:25:06,taylorswift13,,3745,24776,129654,Here’s a first look inside #CatsMovie. Trailer FRIDAY! https://youtu.be/jzsDroK9CNs pic.twitter.com/1NHqKrKcMJ,,,#CatsMovie,1151528260993474565,https://twitter.com/taylorswift13/status/1151528260993474565
2019-07-16 18:56:05,taylorswift13,,2995,13343,84981,Friday @catsmoviepic.twitter.com/h1SJfmA5ol,,@catsmoviepic,,1151203871332716544,https://twitter.com/taylorswift13/status/1151203871332716544
2019-07-13 16:25:06,taylorswift13,,5109,33709,226768,Cat lady thirst trappic.twitter.com/hZ7e9bCaa7,,,,1150078711355650053,https://twitter.com/taylorswift13/status/1150078711355650053
2019-07-10 15:58:16,taylorswift13,,3205,10947,74638,Tune in to @PrimeVideo tonight 9pm ET! @amazonmusic #PrimeDay https://amzn.to/2KAxXXC pic.twitter.com/TcYEk0S10P,,@PrimeVideo @amazonmusic,#PrimeDay,1148984795302694914,https://twitter.com/taylorswift13/status/1148984795302694914
2019-06-28 15:41:07,taylorswift13,,5851,26236,217191,Friday calmnesspic.twitter.com/jEq4ZLjtME,,,,1144631824980828160,https://twitter.com/taylorswift13/status/1144631824980828160
2019-06-26 15:37:32,taylorswift13,,1053,5425,37824,Go behind the scenes of the YNTCD Taylor Park with the amazing @HayleyKiyoko @Lavernecox @katyperry @antoni @Karamo @jvn @bobbyberk @harto @DexStar84 @Adaripp @todrick @chesterlockhart @QueenJadeJolie @drewkirsch https://TaylorSwift.lnk.to/YNTCDbts,,@HayleyKiyoko @Lavernecox @katyperry @antoni @Karamo @jvn @bobbyberk @harto @DexStar84 @Adaripp @todrick @chesterlockhart @QueenJadeJolie @drewkirsch,,1143906143800111105,https://twitter.com/taylorswift13/status/1143906143800111105
2019-06-18 17:50:51,taylorswift13,,3140,17831,137694,Some of us had champagne on set and it shows pic.twitter.com/Kxq7AcY8TL,,,,1141040592534802432,https://twitter.com/taylorswift13/status/1141040592534802432
2019-06-17 22:20:43,taylorswift13,cher,2098,22384,161144,When you have a song about being calm and the video has a Cher quote in it and she posts it so henceforth you are not able to be calm anymore https://twitter.com/cher/status/1140739366106517506 …,,,,1140746118432776197,https://twitter.com/taylorswift13/status/1140746118432776197
2019-06-17 15:22:07,taylorswift13,,1712,18227,119613,"Just like my life, this video was co-executive produced by @todrick pic.twitter.com/AObdtkYl0w",,@todrick,,1140640776390664192,https://twitter.com/taylorswift13/status/1140640776390664192
2019-06-17 13:24:12,taylorswift13,,330,4827,32737,Stan/Follow/Support! @rileyknoxx @RuPaul @VancityReynolds @tanfrance @TATIANNANOW @todrick @trinitykbonet @TrinityTheTuck #YNTCDmusicvideo,,@rileyknoxx @RuPaul @VancityReynolds @tanfrance @TATIANNANOW @todrick @trinitykbonet @TrinityTheTuck,#YNTCDmusicvideo,1140611098225369089,https://twitter.com/taylorswift13/status/1140611098225369089
